Table: Table_1

,Number 31 ,of posts estimated for March 2019 ,,,Number ,and cost2 ,of ,personnel ,posts ,filled/planned ,for ,on funded ,,establishment ,,,,Number ,,
,Number of funded posts ,Number of posts additional to the ,,Actual ,,Revised ,estimate ,,,,,Medium-term ,expenditure ,,estimate ,,,Average growth rate (%) ,Average: Salary level/Total (%) ,
,,establishment ,,2017/18 ,,,2018/19 ,,,2019/20 ,,,2020/21 ,,,2021/22 ,,2018/19-2021/22 ,,
Health ,,,Number ,Cost ,Unit cost ,Number ,Cost ,Unit cost ,Number ,Cost ,Unit cost ,Number ,Cost ,Unit cost ,Number ,Cost ,Unit cost ,,,
Salary level ,1 512 ,- ,1 509 ,856.3 ,0.6 ,532 ,828.8 ,0.5 ,1 513 ,880.5 ,0.6 ,1 507 ,946.5 ,0.6 ,1 503 ,1 008.2 ,0.7 ,-0.6% ,100.0% ,
6 ,472 ,- ,476 ,107.4 ,0.2 ,467 ,100.4 ,0.2 ,460 ,106.3 ,0.2 ,457 ,114.1 ,0.2 ,458 ,123.2 ,0.3 ,-0.6% ,30.4% ,
7 10 ,757 ,- ,744 ,363.2 ,0.5 ,784 ,367.7 ,0.5 ,774 ,388.6 ,0.5 ,770 ,416.8 ,0.5 ,768 ,446.7 ,0.6 ,-0.7% ,51.1% ,
11 12 ,178 ,- ,178 ,214.6 ,1.2 ,154 ,167.4 ,1.1 ,149 ,172.2 ,1.2 ,149 ,184.5 ,1.2 ,149 ,197.3 ,1.3 ,-1.1% ,9.9% ,
13 16 ,103 ,- ,109 ,166.0 ,1.5 ,125 ,187.8 ,1.5 ,128 ,207.6 ,1.6 ,129 ,224.9 ,1.7 ,126 ,234.3 ,1.9 ,0.3% ,8.4% ,
Other ,2 ,- ,2 ,5.1 ,2.6 ,2 ,5.5 ,2.8 ,2 ,5.9 ,2.9 ,2 ,6.3 ,3.2 ,2 ,6.7 ,3.4 ,- ,0.1% ,
Programme ,1 512 ,- ,1 509 ,856.3 ,0.6 ,532 ,828.8 ,0.5 ,1 513 ,880.5 ,0.6 ,1 507 ,946.5 ,0.6 ,1 503 ,1 008.2 ,0.7 ,-0.6% ,100.0% ,
Programme 1 ,423 ,- ,427 ,195.4 ,0.5 ,477 ,231.5 ,0.5 ,475 ,247.1 ,0.5 ,473 ,265.0 ,0.6 ,473 ,284.4 ,0.6 ,-0.3% ,31.3% ,
Programme 2 ,60 ,- ,60 ,41.3 ,0.7 ,69 ,50.1 ,0.7 ,67 ,52.0 ,0.8 ,65 ,55.2 ,0.8 ,65 ,59.1 ,0.9 ,-2.0% ,4.4% ,
Programme 3 ,198 ,- ,198 ,130.3 ,0.7 ,226 ,156.6 ,0.7 ,226 ,167.9 ,0.7 ,223 ,178.1 ,0.8 ,223 ,191.0 ,0.9 ,-0.4% ,14.8% ,
Programme 4 ,369 ,- ,359 ,160.2 ,0.4 ,410 ,184.2 ,0.4 ,407 ,195.1 ,0.5 ,406 ,209.3 ,0.5 ,406 ,224.8 ,0.6 ,-0.3% ,26.9% ,
Programme 5 ,34 ,- ,37 ,20.0 ,0.5 ,44 ,28.9 ,0.7 ,42 ,29.8 ,0.7 ,42 ,32.0 ,0.8 ,42 ,34.2 ,0.8 ,-1.5% ,2.8% ,
Programme 6 ,428 ,- ,428 ,309.0 ,0.7 ,306 ,177.5 ,0.6 ,296 ,188.6 ,0.6 ,298 ,207.0 ,0.7 ,294 ,214.7 ,0.7 ,-1.3% ,19.7% ,





